id,name,set_name,rarity,type,supertype,color,cost,might,tags,effect,flavor,promo,banned,errata,url
ARC-001,Vi - Destructive (Chinese Arcane Box Set Promo),Arcane Box Set,Showcase,Unit,Champion,Fury,2,3,Vi; Piltover,"[Ganking] (I can move from battlefield to battlefield.)
Recycle 1 from your trash: Give me +1 {Might} this turn.",,True,False,,https://riftbound.gg/cards/arc-001-vi-destructive/
ARC-002,Caitlyn - Patrolling (Chinese Arcane Box Set Promo),Arcane Box Set,Showcase,Unit,Champion,Calm,3,3,Caitlyn; Piltover,"I must be assigned combat damage last.
{Exhaust}: Deal damage equal to my Might to a unit at a battlefield. Use this ability only while I'm at a battlefield.",,True,False,,https://riftbound.gg/cards/arc-002-caitlyn-patrolling/
ARC-003,Heimerdinger - Inventor (Chinese Arcane Box Set Promo),Arcane Box Set,Showcase,Unit,Champion,Mind,3,3,Yordle; Heimerdinger; Piltover,"I have all {Exhaust} abilities of all friendly legends, units, and gear.",,True,False,,https://riftbound.gg/cards/arc-003-heimerdinger-inventor/
ARC-004,Warwick - Hunter (Chinese Arcane Box Set Promo),Arcane Box Set,Showcase,Unit,Champion,Body,6,5,Dog; Warwick; Zaun,"I enter ready.
When I attack, kill all damaged enemy units here.",,True,False,,https://riftbound.gg/cards/arc-004-warwick-hunter/
ARC-005,Jinx - Rebel (Chinese Arcane Box Set Promo),Arcane Box Set,Showcase,Unit,Champion,Chaos,5,5,,"When you discard one or more cards, ready me and give me +1 {Might} this turn.",,True,False,,https://riftbound.gg/cards/arc-005-jinx-rebel/
ARC-006,Viktor - Leader (Chinese Arcane Box Set Promo),Arcane Box Set,Showcase,Unit,Champion,Order,4,4,Viktor; Zaun,"When another non-Recruit unit you control dies, play a 1 {Might} Recruit unit token into your base.",,True,False,,https://riftbound.gg/cards/arc-006-viktor-leader/
OGN-001,Blazing Scorcher,Origins,Common,Unit,,Fury,5,5,Dragon; Noxus,[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.),,False,False,,https://riftbound.gg/cards/ogn-001-blazing-scorcher/
OGN-001-P,Blazing Scorcher (Origins Nexus Night Promo),Origins,Common,Unit,,Fury,5,5,Dragon; Noxus,[Accelerate] (You may pay {1 Energy}{Fury Rune} as an additional cost to have me enter ready.),,True,False,,https://riftbound.gg/cards/ogn-001-p-blazing-scorcher/
OGN-002,Brazen Buccaneer,Origins,Common,Unit,,Fury,6,5,Pirate; Bilgewater,"As you play me, you may discard 1 as an additional cost. If you do, reduce my cost by {2 Energy}.","“They called my crew ‘scurvy dogs,’ and I took that personally.”",False,False,,https://riftbound.gg/cards/ogn-002-brazen-buccaneer/
OGN-003,Chemtech Enforcer,Origins,Common,Unit,,Fury,2,2,Zaun,"[Assault 2] (+2 {Might} while I'm an attacker.)
When you play me, discard 1.","“Knock, knock.”",False,False,,https://riftbound.gg/cards/ogn-003-chemtech-enforcer/
OGN-004,Cleave,Origins,Common,Spell,,Fury,1,,,"[Action] (Play on your turn or in showdowns.)
Give a unit [Assault 3] this turn. (+3 {Might} while it's an attacker.)",Nobody ever won a war without attacking.,False,False,,https://riftbound.gg/cards/ogn-004-cleave/
OGN-005,Disintegrate,Origins,Common,Spell,,Fury,4,,,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, draw 1.","“Ashes, ashes, they all fall down.”",False,False,"[Action] (Play on your turn or in showdowns.)
Deal 3 to a unit at a battlefield. If this kills it, do this: draw 1.",https://riftbound.gg/cards/ogn-005-disintegrate/
OGN-006,Flame Chompers,Origins,Common,Unit,,Fury,3,3,Zaun,"When you discard me, you may pay {Fury Rune} to play me.","""GET 'EM, CHOMPIES!""",False,False,,https://riftbound.gg/cards/ogn-006-flame-chompers/
OGN-007,Fury Rune,Origins,Common,Rune,Basic,Fury,,,,,,False,False,,https://riftbound.gg/cards/ogn-007-fury-rune/
OGN-007a,Fury Rune,Origins,Showcase,Rune,Basic,Fury,,,,,,False,False,,https://riftbound.gg/cards/ogn-007a-fury-rune/
OGN-007b,Fury Rune (Origins Nexus Night Promo),Origins,Showcase,Rune,,Fury,,,,,,True,False,,https://riftbound.gg/cards/ogn-007b-fury-rune/
